⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ USB OPTICAL MOUSE                       	id=11	[slave  pointer  (2)]
⎜   ↳ Asus Keyboard                           	id=17	[slave  pointer  (2)]
⎜   ↳ USB OPTICAL MOUSE  Keyboard             	id=12	[slave  pointer  (2)]
⎜   ↳ Asus Keyboard                           	id=18	[slave  pointer  (2)]
⎜   ↳ Asus Keyboard                           	id=13	[slave  pointer  (2)]
⎜   ↳ ELAN9008:00 04F3:41EB                   	id=19	[slave  pointer  (2)]
⎜   ↳ Asus Keyboard                           	id=15	[slave  pointer  (2)]
⎜   ↳ ELAN9008:00 04F3:41EB Stylus Pen (0)    	id=27	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ Video Bus                               	id=8	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=10	[slave  keyboard (3)]
    ↳ Power Button                            	id=9	[slave  keyboard (3)]
    ↳ Asus Keyboard                           	id=14	[slave  keyboard (3)]
    ↳ USB OPTICAL MOUSE  Keyboard             	id=24	[slave  keyboard (3)]
    ↳ Asus Keyboard                           	id=26	[slave  keyboard (3)]
    ↳ Asus Keyboard                           	id=16	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=21	[slave  keyboard (3)]
    ↳ ELAN9008:00 04F3:41EB Stylus            	id=20	[slave  keyboard (3)]
    ↳ Asus Keyboard                           	id=25	[slave  keyboard (3)]
    ↳ Asus WMI hotkeys                        	id=22	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=23	[slave  keyboard (3)]
