⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ YK 2.4G Wireless Device                 	id=9	[slave  pointer  (2)]
⎜   ↳ Elan Touchscreen                        	id=11	[slave  pointer  (2)]
⎜   ↳ Elan Touchpad                           	id=12	[slave  pointer  (2)]
⎜   ↳ WCOM50C1:00 2D1F:0012                   	id=13	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=8	[slave  keyboard (3)]
    ↳ YK 2.4G Wireless Device                 	id=10	[slave  keyboard (3)]
    ↳ bxtda7219max Headset Jack               	id=14	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=15	[slave  keyboard (3)]
