⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Dell Dell Universal Receiver Mouse      	id=10	[slave  pointer  (2)]
⎜   ↳ Dell Dell Universal Receiver Consumer Control	id=11	[slave  pointer  (2)]
⎜   ↳ USB Keyboard Consumer Control           	id=16	[slave  pointer  (2)]
⎜   ↳ Wacom HID 48CA Pen stylus               	id=19	[slave  pointer  (2)]
⎜   ↳ Wacom HID 48CA Finger touch             	id=20	[slave  pointer  (2)]
⎜   ↳ DELL08AF:00 044E:1225 Mouse             	id=21	[slave  pointer  (2)]
⎜   ↳ DELL08AF:00 044E:1225 Touchpad          	id=22	[slave  pointer  (2)]
⎜   ↳ PS/2 Generic Mouse                      	id=28	[slave  pointer  (2)]
⎜   ↳ Wacom HID 48CA Pen eraser               	id=31	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=8	[slave  keyboard (3)]
    ↳ Dell Dell Universal Receiver            	id=9	[slave  keyboard (3)]
    ↳ Dell Dell Universal Receiver System Control	id=12	[slave  keyboard (3)]
    ↳ USB Keyboard                            	id=13	[slave  keyboard (3)]
    ↳ USB Keyboard                            	id=14	[slave  keyboard (3)]
    ↳ USB Keyboard System Control             	id=15	[slave  keyboard (3)]
    ↳ Integrated_Webcam_HD: Integrate         	id=17	[slave  keyboard (3)]
    ↳ Integrated_Webcam_HD: Integrate         	id=18	[slave  keyboard (3)]
    ↳ DELL08AF:00 044E:1225 UNKNOWN           	id=23	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=24	[slave  keyboard (3)]
    ↳ Intel HID 5 button array                	id=25	[slave  keyboard (3)]
    ↳ Dell WMI hotkeys                        	id=26	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=27	[slave  keyboard (3)]
    ↳ Dell Dell Universal Receiver Consumer Control	id=29	[slave  keyboard (3)]
    ↳ USB Keyboard Consumer Control           	id=30	[slave  keyboard (3)]
