⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Alps Alps Touchpad Mouse                	id=10	[slave  pointer  (2)]
⎜   ↳ Alps Alps Touchpad                      	id=11	[slave  pointer  (2)]
⎜   ↳ Wacom HID 4804 Pen stylus               	id=15	[slave  pointer  (2)]
⎜   ↳ Wacom HID 4804 Finger touch             	id=16	[slave  pointer  (2)]
⎜   ↳ PS/2 Generic Mouse                      	id=23	[slave  pointer  (2)]
⎜   ↳ Wacom HID 4804 Pen eraser               	id=26	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ Power Button                            	id=8	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=9	[slave  keyboard (3)]
    ↳ Intel Virtual Button driver             	id=19	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=20	[slave  keyboard (3)]
    ↳ Dell WMI hotkeys                        	id=21	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=22	[slave  keyboard (3)]
