⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Hewlett Packard HP Wireless Keyboard Kit Consumer Control	id=10	[slave  pointer  (2)]
⎜   ↳ Hewlett Packard HP Wireless Keyboard Kit	id=13	[slave  pointer  (2)]
⎜   ↳ ELAN900C:00 04F3:2846                   	id=16	[slave  pointer  (2)]
⎜   ↳ DELL08E1:00 06CB:CD97 Mouse             	id=17	[slave  pointer  (2)]
⎜   ↳ DELL08E1:00 06CB:CD97 Touchpad          	id=18	[slave  pointer  (2)]
⎜   ↳ PS/2 Generic Mouse                      	id=23	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=8	[slave  keyboard (3)]
    ↳ Hewlett Packard HP Wireless Keyboard Kit	id=9	[slave  keyboard (3)]
    ↳ Hewlett Packard HP Wireless Keyboard Kit System Control	id=11	[slave  keyboard (3)]
    ↳ Hewlett Packard HP Wireless Keyboard Kit	id=12	[slave  keyboard (3)]
    ↳ Integrated_Webcam_HD: Integrate         	id=14	[slave  keyboard (3)]
    ↳ Integrated_Webcam_HD: Integrate         	id=15	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=19	[slave  keyboard (3)]
    ↳ Intel HID 5 button array                	id=20	[slave  keyboard (3)]
    ↳ Dell WMI hotkeys                        	id=21	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=22	[slave  keyboard (3)]
    ↳ Hewlett Packard HP Wireless Keyboard Kit Consumer Control	id=24	[slave  keyboard (3)]
