⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Lenovo Optical USB Mouse                	id=10	[slave  pointer  (2)]
⎜   ↳ Wacom HID 494A Pen stylus               	id=13	[slave  pointer  (2)]
⎜   ↳ Wacom HID 494A Finger touch             	id=14	[slave  pointer  (2)]
⎜   ↳ DELL0A3F:00 0488:120A Mouse             	id=15	[slave  pointer  (2)]
⎜   ↳ DELL0A3F:00 0488:120A Touchpad          	id=16	[slave  pointer  (2)]
⎜   ↳ PS/2 Generic Mouse                      	id=24	[slave  pointer  (2)]
⎜   ↳ Wacom HID 494A Pen eraser               	id=25	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=8	[slave  keyboard (3)]
    ↳ LITE-ON Technology USB NetVista Full Width Keyboard.	id=9	[slave  keyboard (3)]
    ↳ Integrated_Webcam_HD: Integrate         	id=11	[slave  keyboard (3)]
    ↳ Integrated_Webcam_HD: Integrate         	id=12	[slave  keyboard (3)]
    ↳ DELL0A3F:00 0488:120A UNKNOWN           	id=17	[slave  keyboard (3)]
    ↳ sof-soundwire Headset Jack              	id=18	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=19	[slave  keyboard (3)]
    ↳ Intel HID 5 button array                	id=20	[slave  keyboard (3)]
    ↳ Dell Privacy Driver                     	id=21	[slave  keyboard (3)]
    ↳ Dell WMI hotkeys                        	id=22	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=23	[slave  keyboard (3)]
