⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Wacom HID 48EB Pen stylus               	id=10	[slave  pointer  (2)]
⎜   ↳ DLL09FF:01 06CB:CE39 Mouse              	id=12	[slave  pointer  (2)]
⎜   ↳ DLL09FF:01 06CB:CE39 Touchpad           	id=13	[slave  pointer  (2)]
⎜   ↳ Wacom HID 48EB Pen eraser               	id=19	[slave  pointer  (2)]
⎜   ↳ Wacom HID 48EB Finger touch             	id=11	[slave  pointer  (2)]
⎜   ↳ Logitech Optical USB Mouse              	id=21	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Integrated_Webcam_HD: Integrate         	id=8	[slave  keyboard (3)]
    ↳ Integrated_Webcam_HD: Integrate         	id=9	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=14	[slave  keyboard (3)]
    ↳ Intel HID 5 button array                	id=15	[slave  keyboard (3)]
    ↳ Dell WMI hotkeys                        	id=16	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=17	[slave  keyboard (3)]
    ↳ RODE Microphones RODE NT-USB Consumer Control	id=18	[slave  keyboard (3)]
    ↳ IPEVO VZ-R: IPEVO VZ-R                  	id=20	[slave  keyboard (3)]
