⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Cirque Cirque Millienno 1033 0016 Mouse 	id=8	[slave  pointer  (2)]
⎜   ↳ Cirque Cirque Millienno 1033 0016 Touchpad	id=9	[slave  pointer  (2)]
⎜   ↳ Wacom HID 49BC Pen stylus               	id=10	[slave  pointer  (2)]
⎜   ↳ Wacom HID 49BC Finger touch             	id=11	[slave  pointer  (2)]
⎜   ↳ Wacom HID 49BC Pen eraser               	id=17	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=12	[slave  keyboard (3)]
    ↳ Intel HID 5 button array                	id=13	[slave  keyboard (3)]
    ↳ Dell Privacy Driver                     	id=14	[slave  keyboard (3)]
    ↳ Dell WMI hotkeys                        	id=15	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=16	[slave  keyboard (3)]
