⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Telink Wireless Receiver Consumer Control	id=12	[slave  pointer  (2)]
⎜   ↳ Telink Wireless Receiver Mouse          	id=11	[slave  pointer  (2)]
⎜   ↳ DualPoint Stick                         	id=17	[slave  pointer  (2)]
⎜   ↳ DLL07A8:01 044E:120B                    	id=16	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ Video Bus                               	id=8	[slave  keyboard (3)]
    ↳ Power Button                            	id=9	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=10	[slave  keyboard (3)]
    ↳ Telink Wireless Receiver Consumer Control	id=22	[slave  keyboard (3)]
    ↳ Integrated_Webcam_HD: Integrate         	id=15	[slave  keyboard (3)]
    ↳ Telink Wireless Receiver System Control 	id=13	[slave  keyboard (3)]
    ↳ Telink Wireless Receiver                	id=14	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=18	[slave  keyboard (3)]
    ↳ Intel HID 5 button array                	id=19	[slave  keyboard (3)]
    ↳ Dell WMI hotkeys                        	id=20	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=21	[slave  keyboard (3)]
