⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Wacom HID 48B7 Pen stylus               	id=12	[slave  pointer  (2)]
⎜   ↳ Wacom HID 48B7 Finger touch             	id=13	[slave  pointer  (2)]
⎜   ↳ SYNA307E:00 06CB:CD74 Mouse             	id=14	[slave  pointer  (2)]
⎜   ↳ SYNA307E:00 06CB:CD74 Touchpad          	id=15	[slave  pointer  (2)]
⎜   ↳ SynPS/2 Synaptics TouchPad              	id=19	[slave  pointer  (2)]
⎜   ↳ Wacom HID 48B7 Pen eraser               	id=22	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ Power Button                            	id=8	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=9	[slave  keyboard (3)]
    ↳ HP Full-HD Camera: HP Full-HD C         	id=10	[slave  keyboard (3)]
    ↳ HP Full-HD Camera: HP IR Camera         	id=11	[slave  keyboard (3)]
    ↳ Intel Virtual Buttons                   	id=16	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=17	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=18	[slave  keyboard (3)]
    ↳ Wireless hotkeys                        	id=20	[slave  keyboard (3)]
    ↳ HP WMI hotkeys                          	id=21	[slave  keyboard (3)]
