⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ SYNA7508:00 06CB:125D                   	id=13	[slave  pointer  (2)]
⎜   ↳ SYNA7508:00 06CB:125D Pen (0)           	id=18	[slave  pointer  (2)]
⎜   ↳ SYNA7508:00 06CB:125D Eraser (0)        	id=19	[slave  pointer  (2)]
⎜   ↳ HID 04d9:a088 Mouse                     	id=7	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ bytcr-rt5640 Headset                    	id=11	[slave  keyboard (3)]
    ↳ SYNA7508:00 06CB:125D                   	id=12	[slave  keyboard (3)]
    ↳ axp20x-pek                              	id=14	[slave  keyboard (3)]
    ↳ gpio-keys                               	id=15	[slave  keyboard (3)]
    ↳ gpio-keys                               	id=16	[slave  keyboard (3)]
    ↳ HP WMI hotkeys                          	id=17	[slave  keyboard (3)]
    ↳ HID 04d9:a088 Consumer Control          	id=8	[slave  keyboard (3)]
    ↳ HID 04d9:a088                           	id=9	[slave  keyboard (3)]
    ↳ HID 04d9:a088 System Control            	id=10	[slave  keyboard (3)]
