⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ ELAN071B:00 04F3:312C Touchpad          	id=16	[slave  pointer  (2)]
⎜   ↳ ELAN2513:00 04F3:2AD8 stylus            	id=18	[slave  pointer  (2)]
⎜   ↳ ELAN2513:00 04F3:2AD8 eraser            	id=23	[slave  pointer  (2)]
⎜   ↳ ELAN2513:00 04F3:2AD8 touch             	id=17	[slave  pointer  (2)]
⎜   ↳ ELAN071B:00 04F3:312C Mouse             	id=15	[slave  pointer  (2)]
⎜   ↳ 2.4G  Mouse                             	id=10	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=9	[slave  keyboard (3)]
    ↳ Power Button                            	id=8	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=19	[slave  keyboard (3)]
    ↳ HP WMI hotkeys                          	id=21	[slave  keyboard (3)]
    ↳ HP Wireless hotkeys                     	id=20	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ HP HD Camera: HP HD Camera              	id=14	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
