⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Logitech M185/M225                      	id=9	[slave  pointer  (2)]
⎜   ↳ ELAN2514:00 04F3:2BEB                   	id=12	[slave  pointer  (2)]
⎜   ↳ ELAN072D:00 04F3:315B Mouse             	id=14	[slave  pointer  (2)]
⎜   ↳ ELAN072D:00 04F3:315B Touchpad          	id=15	[slave  pointer  (2)]
⎜   ↳ ELAN2514:00 04F3:2BEB Stylus Pen (0)    	id=21	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ Power Button                            	id=8	[slave  keyboard (3)]
    ↳ HP True Vision HD Camera: HP Tr         	id=10	[slave  keyboard (3)]
    ↳ HP True Vision HD Camera: HP IR         	id=11	[slave  keyboard (3)]
    ↳ ELAN2514:00 04F3:2BEB Stylus            	id=13	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=16	[slave  keyboard (3)]
    ↳ Intel HID 5 button array                	id=17	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=18	[slave  keyboard (3)]
    ↳ HP WMI hotkeys                          	id=19	[slave  keyboard (3)]
    ↳ Logitech M185/M225                      	id=20	[slave  keyboard (3)]
