⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ SEM USB Keyboard Consumer Control       	id=9	[slave  pointer  (2)]
⎜   ↳ HP HP Pavilion Gaming Mouse 300         	id=11	[slave  pointer  (2)]
⎜   ↳ HP HP Pavilion Gaming Mouse 300 Consumer Control	id=13	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet_H640P Pen stylus     	id=18	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet_H640P Pad pad        	id=19	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ SEM USB Keyboard                        	id=8	[slave  keyboard (3)]
    ↳ SEM USB Keyboard System Control         	id=10	[slave  keyboard (3)]
    ↳ HP HP Pavilion Gaming Mouse 300 Keyboard	id=12	[slave  keyboard (3)]
    ↳ Eee PC WMI hotkeys                      	id=14	[slave  keyboard (3)]
    ↳ SEM USB Keyboard Consumer Control       	id=15	[slave  keyboard (3)]
    ↳ HP HP Pavilion Gaming Mouse 300 Consumer Control	id=16	[slave  keyboard (3)]
    ↳ HUION Huion Tablet_H640P Keyboard       	id=17	[slave  keyboard (3)]
