⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet_HS611 Pen stylus     	id=11	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet_HS611 Pad pad        	id=12	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet_HS611 Touch Strip pad	id=13	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet_HS611 Dial           	id=14	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet_HS611 Consumer Control	id=16	[slave  pointer  (2)]
⎜   ↳ Atmel Atmel maXTouch Digitizer          	id=17	[slave  pointer  (2)]
⎜   ↳ ETPS/2 Elantech Touchpad                	id=20	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ Video Bus                               	id=8	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=9	[slave  keyboard (3)]
    ↳ Lenovo EasyCamera: Lenovo EasyC         	id=10	[slave  keyboard (3)]
    ↳ HUION Huion Tablet_HS611 Keyboard       	id=15	[slave  keyboard (3)]
    ↳ Ideapad extra buttons                   	id=18	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=19	[slave  keyboard (3)]
    ↳ HUION Huion Tablet_HS611 Dial           	id=21	[slave  keyboard (3)]
    ↳ HUION Huion Tablet_HS611 Consumer Control	id=22	[slave  keyboard (3)]
