⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ HID kkkk:kkkk                           	id=9	[slave  pointer  (2)]
⎜   ↳ DESKTOP_MOUSE             	id=16	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet_H1061P Pad pad       	id=11	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet_H1061P Pen stylus    	id=12	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet_H1061P Touch Strip pad	id=13	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet_H1061P Group Buttons pad	id=14	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet_H1061P stylus        	id=15	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet_H1061P eraser        	id=17	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet_H1061P Dial          	id=18	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ HID kkkk:kkkk                           	id=8	[slave  keyboard (3)]
    ↳ HID kkkk:kkkk                           	id=10	[slave  keyboard (3)]
    ↳ HUION Huion Tablet_H1061P Dial          	id=19	[slave  keyboard (3)]
