⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ TABLET Pen Tablet Pad                   	id=9	[slave  pointer  (2)]
⎜   ↳ Logitech Gaming Mouse G502              	id=11	[slave  pointer  (2)]
⎜   ↳ Logitech Gaming Mouse G502 Keyboard     	id=12	[slave  pointer  (2)]
⎜   ↳ AKKO AKKO 3084BT Keyboard               	id=14	[slave  pointer  (2)]
⎜   ↳ Valve Software Steam Controller         	id=16	[slave  pointer  (2)]
⎜   ↳ TABLET Pen Tablet Pen Pen (0)           	id=21	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ TABLET Pen Tablet Pen                   	id=8	[slave  keyboard (3)]
    ↳ FT FIDO KB                              	id=10	[slave  keyboard (3)]
    ↳ AKKO AKKO 3084BT                        	id=13	[slave  keyboard (3)]
    ↳ AKKO AKKO 3084BT Wireless Radio Control 	id=15	[slave  keyboard (3)]
    ↳ SteelSeries  SteelSeries Arctis 7 Consumer Control	id=17	[slave  keyboard (3)]
    ↳ Logitech Gaming Mouse G502 Keyboard     	id=18	[slave  keyboard (3)]
    ↳ AKKO AKKO 3084BT Keyboard               	id=19	[slave  keyboard (3)]
    ↳ Valve Software Steam Controller         	id=20	[slave  keyboard (3)]
