⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ HIMX1234:00 4858:121A                   	id=15	[slave  pointer  (2)]
⎜   ↳ HIMX1234:00 4858:121A Stylus Pen (0x8020132c)	id=22	[slave  pointer  (2)]
⎜   ↳ DOKING Duet 5 USB Composite Device Consumer Control	id=10	[slave  pointer  (2)]
⎜   ↳ DOKING Duet 5 USB Composite Device Mouse	id=13	[slave  pointer  (2)]
⎜   ↳ DOKING Duet 5 USB Composite Device Touchpad	id=21	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=8	[slave  keyboard (3)]
    ↳ HIMX1234:00 4858:121A Stylus            	id=16	[slave  keyboard (3)]
    ↳ Ideapad extra buttons                   	id=17	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=18	[slave  keyboard (3)]
    ↳ Intel HID 5 button array                	id=19	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=20	[slave  keyboard (3)]
    ↳ DOKING Duet 5 USB Composite Device System Control	id=9	[slave  keyboard (3)]
    ↳ DOKING Duet 5 USB Composite Device Consumer Control	id=11	[slave  keyboard (3)]
    ↳ DOKING Duet 5 USB Composite Device Wireless Radio Control	id=12	[slave  keyboard (3)]
    ↳ DOKING Duet 5 USB Composite Device      	id=14	[slave  keyboard (3)]
