⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ SNSL0028:00 2C2F:0028 Mouse             	id=9	[slave  pointer  (2)]
⎜   ↳ SNSL0028:00 2C2F:0028 Touchpad          	id=10	[slave  pointer  (2)]
⎜   ↳ Wacom HID 5397 Pen stylus               	id=11	[slave  pointer  (2)]
⎜   ↳ Wacom HID 5397 Finger touch             	id=12	[slave  pointer  (2)]
⎜   ↳ Wacom HID 5397 Pen eraser               	id=17	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=8	[slave  keyboard (3)]
    ↳ sof-hda-dsp Headphone                   	id=13	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=14	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=15	[slave  keyboard (3)]
    ↳ ThinkPad Extra Buttons                  	id=16	[slave  keyboard (3)]
