⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ USB USB Keyboard Consumer Control       	id=10	[slave  pointer  (2)]
⎜   ↳ Logitech MX Ergo                        	id=14	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=6	[slave  keyboard (3)]
    ↳ Integrated RGB Camera: Integrat         	id=7	[slave  keyboard (3)]
    ↳ Integrated RGB Camera: Integrat         	id=8	[slave  keyboard (3)]
    ↳ USB USB Keyboard                        	id=9	[slave  keyboard (3)]
    ↳ USB USB Keyboard System Control         	id=11	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=12	[slave  keyboard (3)]
    ↳ USB USB Keyboard Consumer Control       	id=13	[slave  keyboard (3)]
    ↳ Logitech MX Ergo                        	id=15	[slave  keyboard (3)]
