⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Chicony ThinkPad X1 Tablet Thin Keyboard Gen 3	id=9	[slave  pointer  (2)]
⎜   ↳ Chicony ThinkPad X1 Tablet Thin Keyboard Gen 3	id=10	[slave  pointer  (2)]
⎜   ↳ Chicony ThinkPad X1 Tablet Thin Keyboard Gen 3	id=11	[slave  pointer  (2)]
⎜   ↳ Chicony ThinkPad X1 Tablet Thin Keyboard Gen 3	id=12	[slave  pointer  (2)]
⎜   ↳ Wacom HID 511A Pen stylus               	id=15	[slave  pointer  (2)]
⎜   ↳ Wacom HID 511A Finger touch             	id=16	[slave  pointer  (2)]
⎜   ↳ Wacom HID 511A Pen eraser               	id=22	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Chicony ThinkPad X1 Tablet Thin Keyboard Gen 3	id=8	[slave  keyboard (3)]
    ↳ Integrated IR Camera: Integrate         	id=13	[slave  keyboard (3)]
    ↳ Integrated Camera: Integrated C         	id=14	[slave  keyboard (3)]
    ↳ Intel Virtual Buttons                   	id=17	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=18	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=19	[slave  keyboard (3)]
    ↳ ThinkPad Extra Buttons                  	id=20	[slave  keyboard (3)]
    ↳ Chicony ThinkPad X1 Tablet Thin Keyboard Gen 3	id=21	[slave  keyboard (3)]
