⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Wacom Pen and multitouch sensor Finger touch	id=9	[slave  pointer  (2)]
⎜   ↳ Wacom Pen and multitouch sensor Pen stylus	id=10	[slave  pointer  (2)]
⎜   ↳ SNSL0001:00 2C2F:0006 Mouse             	id=13	[slave  pointer  (2)]
⎜   ↳ SNSL0001:00 2C2F:0006 Touchpad          	id=14	[slave  pointer  (2)]
⎜   ↳ TPPS/2 Elan TrackPoint                  	id=17	[slave  pointer  (2)]
⎜   ↳ Wacom Pen and multitouch sensor Pen eraser	id=19	[slave  pointer  (2)]
⎜   ↳ M720 Triathlon Mouse                    	id=25	[slave  pointer  (2)]
⎜   ↳ Keyboard K850 Consumer Control          	id=21	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=8	[slave  keyboard (3)]
    ↳ Integrated Camera: Integrated C         	id=11	[slave  keyboard (3)]
    ↳ Integrated Camera: Integrated I         	id=12	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=15	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=16	[slave  keyboard (3)]
    ↳ ThinkPad Extra Buttons                  	id=18	[slave  keyboard (3)]
    ↳ M720 Triathlon Keyboard                 	id=24	[slave  keyboard (3)]
    ↳ Keyboard K850 Keyboard                  	id=20	[slave  keyboard (3)]
    ↳ Keyboard K850 Consumer Control          	id=22	[slave  keyboard (3)]
    ↳ Keyboard K850 System Control            	id=23	[slave  keyboard (3)]
