⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Microsoft Microsoft® Nano Transceiver v1.0 Mouse	id=10	[slave  pointer  (2)]
⎜   ↳ Microsoft Microsoft® Nano Transceiver v1.0 Consumer Control	id=11	[slave  pointer  (2)]
⎜   ↳ Microsoft Microsoft® Nano Transceiver v1.0 Consumer Control	id=12	[slave  pointer  (2)]
⎜   ↳ ASUS PT201                              	id=16	[slave  pointer  (2)]
⎜   ↳ Wacom Pen and multitouch sensor Finger  	id=19	[slave  pointer  (2)]
⎜   ↳ Wacom Pen and multitouch sensor Pen stylus	id=20	[slave  pointer  (2)]
⎜   ↳ SYNA8004:00 06CB:CD8B Touchpad          	id=23	[slave  pointer  (2)]
⎜   ↳ TPPS/2 ALPS TrackPoint                  	id=25	[slave  pointer  (2)]
⎜   ↳ Wacom Pen and multitouch sensor Pen eraser	id=29	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=8	[slave  keyboard (3)]
    ↳ Microsoft Microsoft® Nano Transceiver v1.0	id=9	[slave  keyboard (3)]
    ↳ Microsoft Microsoft® Nano Transceiver v1.0 System Control	id=13	[slave  keyboard (3)]
    ↳ Kingston HyperX 7.1 Audio Consumer Control	id=14	[slave  keyboard (3)]
    ↳ Kingston HyperX 7.1 Audio               	id=15	[slave  keyboard (3)]
    ↳ ASUS PT201                              	id=17	[slave  keyboard (3)]
    ↳ HD Pro Webcam C920                      	id=18	[slave  keyboard (3)]
    ↳ Integrated Camera: Integrated C         	id=21	[slave  keyboard (3)]
    ↳ Integrated Camera: Integrated I         	id=22	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=24	[slave  keyboard (3)]
    ↳ ThinkPad Extra Buttons                  	id=26	[slave  keyboard (3)]
    ↳ Microsoft Microsoft® Nano Transceiver v1.0 Consumer Control	id=27	[slave  keyboard (3)]
    ↳ Microsoft Microsoft® Nano Transceiver v1.0 Consumer Control	id=28	[slave  keyboard (3)]
