⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Logitech Advanced Corded Mouse M500s    	id=10	[slave  pointer  (2)]
⎜   ↳ Logitech Advanced Corded Mouse M500s Consumer Control	id=12	[slave  pointer  (2)]
⎜   ↳ ELAN0674:00 04F3:3193 Mouse             	id=14	[slave  pointer  (2)]
⎜   ↳ ELAN0674:00 04F3:3193 Touchpad          	id=15	[slave  pointer  (2)]
⎜   ↳ Wacom HID 5285 Pen stylus               	id=16	[slave  pointer  (2)]
⎜   ↳ Wacom HID 5285 Finger touch             	id=17	[slave  pointer  (2)]
⎜   ↳ TPPS/2 Elan TrackPoint                  	id=20	[slave  pointer  (2)]
⎜   ↳ Wacom HID 5285 Pen eraser               	id=23	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=8	[slave  keyboard (3)]
    ↳ Integrated Camera: Integrated C         	id=9	[slave  keyboard (3)]
    ↳ Logitech Advanced Corded Mouse M500s Keyboard	id=11	[slave  keyboard (3)]
    ↳ Logitech Advanced Corded Mouse M500s System Control	id=13	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=18	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=19	[slave  keyboard (3)]
    ↳ ThinkPad Extra Buttons                  	id=21	[slave  keyboard (3)]
    ↳ Logitech Advanced Corded Mouse M500s Consumer Control	id=22	[slave  keyboard (3)]
