⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ MSFT0002:00 04F3:31E6 Mouse             	id=10	[slave  pointer  (2)]
⎜   ↳ MSFT0002:00 04F3:31E6 Touchpad          	id=11	[slave  pointer  (2)]
⎜   ↳ Wacom HID 52A2 Pen stylus               	id=12	[slave  pointer  (2)]
⎜   ↳ Wacom HID 52A2 Finger touch             	id=13	[slave  pointer  (2)]
⎜   ↳ Wacom HID 52A2 Pen eraser               	id=15	[slave  pointer  (2)]
⎜   ↳ Logitech Gaming Mouse G502 Keyboard     	id=17	[slave  pointer  (2)]
⎜   ↳ Logitech Gaming Mouse G502              	id=19	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Ideapad extra buttons                   	id=9	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=14	[slave  keyboard (3)]
    ↳ Integrated Camera: Integrated C         	id=8	[slave  keyboard (3)]
    ↳ Corsair Corsair Gaming K63 Keyboard     	id=16	[slave  keyboard (3)]
    ↳ Logitech Gaming Mouse G502 Keyboard     	id=18	[slave  keyboard (3)]
