⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ SYNAC780:00 06CB:CEFE Mouse             	id=11	[slave  pointer  (2)]
⎜   ↳ SYNAC780:00 06CB:CEFE Touchpad          	id=12	[slave  pointer  (2)]
⎜   ↳ Wacom HID 5360 Pen stylus               	id=13	[slave  pointer  (2)]
⎜   ↳ Wacom HID 5360 Finger touch             	id=14	[slave  pointer  (2)]
⎜   ↳ Wacom HID 5360 Pen eraser               	id=18	[slave  pointer  (2)]
⎜   ↳ input-remapper mouse                    	id=17	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Integrated RGB Camera: Integrat         	id=8	[slave  keyboard (3)]
    ↳ Integrated RGB Camera: Integrat         	id=9	[slave  keyboard (3)]
    ↳ Ideapad extra buttons                   	id=10	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=15	[slave  keyboard (3)]
    ↳ input-remapper keyboard                 	id=16	[slave  keyboard (3)]
