⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Intel Touch Host Controller Touchscreen 	id=8	[slave  pointer  (2)]
⎜   ↳ Microsoft Surface 045E:09AE Keyboard    	id=13	[slave  pointer  (2)]
⎜   ↳ Microsoft Surface 045E:09AF Mouse       	id=15	[slave  pointer  (2)]
⎜   ↳ Microsoft Surface 045E:09AF Touchpad    	id=16	[slave  pointer  (2)]
⎜   ↳ IPTS Touch                              	id=18	[slave  pointer  (2)]
⎜   ↳ input-remapper mouse                    	id=21	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ Intel Touch Host Controller Stylus      	id=7	[slave  keyboard (3)]
    ↳ Surface Camera Front: Surface C         	id=9	[slave  keyboard (3)]
    ↳ Surface Camera Front: Surface I         	id=10	[slave  keyboard (3)]
    ↳ gpio-keys                               	id=11	[slave  keyboard (3)]
    ↳ gpio-keys                               	id=12	[slave  keyboard (3)]
    ↳ Microsoft Surface 045E:09B0 Keyboard    	id=14	[slave  keyboard (3)]
    ↳ Microsoft Surface 045E:09AE             	id=17	[slave  keyboard (3)]
    ↳ IPTS Stylus                             	id=19	[slave  keyboard (3)]
    ↳ input-remapper keyboard                 	id=20	[slave  keyboard (3)]
    ↳ Microsoft Surface 045E:09AE Keyboard    	id=22	[slave  keyboard (3)]
