⎡ Virtual core pointer                    	id=2	[mUSERNAME pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Lenovo 300 Wireless Compact Mouse Lenovo 300 Wireless Compact Mouse	id=9	[slave  pointer  (2)]
⎜   ↳ Lenovo 300 Wireless Compact Mouse Lenovo 300 Wireless Compact Mouse Consumer Control	id=10	[slave  pointer  (2)]
⎜   ↳ G2Touch Multi-Touch by G2TSP            	id=14	[slave  pointer  (2)]
⎜   ↳ ELAN0B00:00 04F3:306A Mouse             	id=15	[slave  pointer  (2)]
⎜   ↳ ELAN0B00:00 04F3:306A Touchpad          	id=16	[slave  pointer  (2)]
⎜   ↳ WCOM0033:00 2D1F:001E Mouse             	id=17	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[mUSERNAME keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ Power Button                            	id=8	[slave  keyboard (3)]
    ↳ Lenovo 300 Wireless Compact Mouse Lenovo 300 Wireless Compact Mouse System Control	id=11	[slave  keyboard (3)]
    ↳ 720p HD Camera: 720p HD Camera          	id=12	[slave  keyboard (3)]
    ↳ 720p HD Camera: Samsung IR Came         	id=13	[slave  keyboard (3)]
    ↳ WCOM0033:00 2D1F:001E                   	id=18	[slave  keyboard (3)]
    ↳ Intel Virtual Button driver             	id=19	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=20	[slave  keyboard (3)]
    ↳ Lenovo 300 Wireless Compact Mouse Lenovo 300 Wireless Compact Mouse Consumer Control	id=21	[slave  keyboard (3)]
