⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Texas Instruments MSP430-USB Mouse      	id=9	[slave  pointer  (2)]
⎜   ↳ Texas Instruments MSP430-USB Mouse      	id=10	[slave  pointer  (2)]
⎜   ↳ Texas Instruments MSP430-USB Mouse Consumer Control	id=11	[slave  pointer  (2)]
⎜   ↳ UGTABLET TABLET EX 07  stylus           	id=13	[slave  pointer  (2)]
⎜   ↳ UGTABLET TABLET EX 07  Pad pad          	id=14	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Texas Instruments MSP430-USB Mouse      	id=8	[slave  keyboard (3)]
    ↳ Texas Instruments MSP430-USB Mouse      	id=12	[slave  keyboard (3)]
    ↳       USB Keyboard                      	id=15	[slave  keyboard (3)]
    ↳       USB Keyboard                      	id=16	[slave  keyboard (3)]
    ↳       USB Keyboard Consumer Control     	id=17	[slave  keyboard (3)]
    ↳ Texas Instruments MSP430-USB Mouse Consumer Control	id=18	[slave  keyboard (3)]
