⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Wacom Bamboo 16FG 4x5 Pen stylus        	id=10	[slave  pointer  (2)]
⎜   ↳ Wacom Bamboo 16FG 4x5 Finger touch      	id=11	[slave  pointer  (2)]
⎜   ↳ Wacom Bamboo 16FG 4x5 Pad pad           	id=12	[slave  pointer  (2)]
⎜   ↳ Microsoft Microsoft® 2.4GHz Transceiver v5.0	id=13	[slave  pointer  (2)]
⎜   ↳ ETPS/2 Elantech Touchpad                	id=16	[slave  pointer  (2)]
⎜   ↳ Wacom Bamboo 16FG 4x5 Pen eraser        	id=17	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ Video Bus                               	id=8	[slave  keyboard (3)]
    ↳ Power Button                            	id=9	[slave  keyboard (3)]
    ↳ WebCam SC-10HDP12631N: WebCam S         	id=14	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=15	[slave  keyboard (3)]
