⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Wacom Graphire Pen stylus               	id=8	[slave  pointer  (2)]
⎜   ↳ Microsoft Microsoft® 2.4GHz Transceiver v8.0	id=10	[slave  pointer  (2)]
⎜   ↳ Microsoft Microsoft® 2.4GHz Transceiver v8.0	id=11	[slave  pointer  (2)]
⎜   ↳ Wacom Graphire Pen eraser               	id=12	[slave  pointer  (2)]
⎜   ↳ Wacom Graphire Pen cursor               	id=13	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Microsoft Microsoft® 2.4GHz Transceiver v8.0	id=9	[slave  keyboard (3)]
    ↳ Microsoft Microsoft® 2.4GHz Transceiver v8.0	id=14	[slave  keyboard (3)]
