⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Logitech USB Optical Mouse              	id=10	[slave  pointer  (2)]
⎜   ↳ Wacom Intuos2 9x12 Pen stylus           	id=12	[slave  pointer  (2)]
⎜   ↳ Nuvoton w836x7hg Infrared Remote Transceiver	id=14	[slave  pointer  (2)]
⎜   ↳ Wacom Intuos2 9x12 Pen eraser           	id=15	[slave  pointer  (2)]
⎜   ↳ Wacom Intuos2 9x12 Pen cursor           	id=16	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ Power Button                            	id=8	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=9	[slave  keyboard (3)]
    ↳ unspecified ErgoDox ergonomic keyboard  	id=11	[slave  keyboard (3)]
    ↳ UVC Camera (046d:0990)                  	id=13	[slave  keyboard (3)]
    ↳ Nuvoton w836x7hg Infrared Remote Transceiver	id=17	[slave  keyboard (3)]
