⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Logitech USB Laser Mouse                	id=9	[slave  pointer  (2)]
⎜   ↳ Wacom Intuos3 6x8 Pen stylus            	id=10	[slave  pointer  (2)]
⎜   ↳ Wacom Intuos3 6x8 Pad pad               	id=11	[slave  pointer  (2)]
⎜   ↳ Wacom Intuos3 6x8 Pen eraser            	id=13	[slave  pointer  (2)]
⎜   ↳ Wacom Intuos3 6x8 Pen cursor            	id=14	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ CHICONY HP Basic USB Keyboard           	id=8	[slave  keyboard (3)]
    ↳ ACPI Virtual Keyboard Device            	id=12	[slave  keyboard (3)]
