⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳   Mouse for Windows                     	id=8	[slave  pointer  (2)]
⎜   ↳ Wacom One pen display 11.6" Pen stylus  	id=10	[slave  pointer  (2)]
⎜   ↳ Logitech USB Receiver                   	id=11	[slave  pointer  (2)]
⎜   ↳ Logitech USB Receiver Keyboard          	id=12	[slave  pointer  (2)]
⎜   ↳ Milsky 68EC-XRGB Consumer Control       	id=14	[slave  pointer  (2)]
⎜   ↳ Milsky 68EC-XRGB Mouse                  	id=17	[slave  pointer  (2)]
⎜   ↳ PNP0C50:00 0911:5288 Mouse              	id=18	[slave  pointer  (2)]
⎜   ↳ PNP0C50:00 0911:5288 Touchpad           	id=19	[slave  pointer  (2)]
⎜   ↳ GXTP7385:00 27C6:0113                   	id=20	[slave  pointer  (2)]
⎜   ↳ Wacom One pen display 11.6" Pen eraser  	id=24	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳   Mouse for Windows                     	id=9	[slave  keyboard (3)]
    ↳ Milsky 68EC-XRGB                        	id=13	[slave  keyboard (3)]
    ↳ Milsky 68EC-XRGB System Control         	id=15	[slave  keyboard (3)]
    ↳ Milsky 68EC-XRGB Keyboard               	id=16	[slave  keyboard (3)]
    ↳ GXTP7385:00 27C6:0113 Stylus            	id=21	[slave  keyboard (3)]
    ↳ GXTP7385:00 27C6:0113 Keyboard          	id=22	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=23	[slave  keyboard (3)]
    ↳ Logitech USB Receiver Keyboard          	id=25	[slave  keyboard (3)]
    ↳ Milsky 68EC-XRGB Consumer Control       	id=26	[slave  keyboard (3)]
