⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Logitech USB Receiver Mouse             	id=11	[slave  pointer  (2)]
⎜   ↳ Logitech USB Receiver Consumer Control  	id=12	[slave  pointer  (2)]
⎜   ↳ UGEE 10.1 Tablet Monitor Pad            	id=15	[slave  pointer  (2)]
⎜   ↳ UGEE 10.1 Tablet Monitor Mouse          	id=16	[slave  pointer  (2)]
⎜   ↳ UNIW0001:00 093A:0255 Mouse             	id=17	[slave  pointer  (2)]
⎜   ↳ UNIW0001:00 093A:0255 Touchpad          	id=18	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ Power Button                            	id=8	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=9	[slave  keyboard (3)]
    ↳ Logitech USB Receiver                   	id=10	[slave  keyboard (3)]
    ↳ Logitech USB Receiver System Control    	id=13	[slave  keyboard (3)]
    ↳ UGEE 10.1 Tablet Monitor                	id=14	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=19	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=20	[slave  keyboard (3)]
    ↳ TUXEDO Keyboard                         	id=21	[slave  keyboard (3)]
    ↳ Logitech USB Receiver Consumer Control  	id=22	[slave  keyboard (3)]
