⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ HANVON UGEE Shortcut Remote Mouse       	id=9	[slave  pointer  (2)]
⎜   ↳ Logitech B330/M330/M3                   	id=12	[slave  pointer  (2)]
⎜   ↳ UGTABLET 24 inch PenDisplay Mouse       	id=13	[slave  pointer  (2)]
⎜   ↳ UGTABLET 24 inch PenDisplay stylus      	id=15	[slave  pointer  (2)]
⎜   ↳ Dell KB216 Wired Keyboard Consumer Control	id=21	[slave  pointer  (2)]
⎜   ↳ UGTABLET Artist Pro 16 (Gen2) Mouse     	id=22	[slave  pointer  (2)]
⎜   ↳ UGTABLET 24 inch PenDisplay eraser      	id=27	[slave  pointer  (2)]
⎜   ↳ UGTABLET Artist Pro 16 (Gen2) stylus    	id=24	[slave  pointer  (2)]
⎜   ↳ UGTABLET Artist Pro 16 (Gen2) eraser    	id=29	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Samson Technologies Samson Meteor Mic Consumer Control	id=8	[slave  keyboard (3)]
    ↳ HANVON UGEE Shortcut Remote Keyboard    	id=10	[slave  keyboard (3)]
    ↳ HANVON UGEE Shortcut Remote             	id=11	[slave  keyboard (3)]
    ↳ UGTABLET 24 inch PenDisplay Keyboard    	id=14	[slave  keyboard (3)]
    ↳ HID 04d9:1203                           	id=16	[slave  keyboard (3)]
    ↳ HID 04d9:1203 System Control            	id=17	[slave  keyboard (3)]
    ↳ HID 04d9:1203 Consumer Control          	id=18	[slave  keyboard (3)]
    ↳ Dell KB216 Wired Keyboard               	id=19	[slave  keyboard (3)]
    ↳ Dell KB216 Wired Keyboard System Control	id=20	[slave  keyboard (3)]
    ↳ UGTABLET Artist Pro 16 (Gen2) Keyboard  	id=23	[slave  keyboard (3)]
    ↳ HANVON UGEE Shortcut Remote Mouse       	id=25	[slave  keyboard (3)]
    ↳ Logitech B330/M330/M3                   	id=26	[slave  keyboard (3)]
    ↳ Dell KB216 Wired Keyboard Consumer Control	id=28	[slave  keyboard (3)]
