⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Logitech M705                           	id=8	[slave  pointer  (2)]
⎜   ↳ HP HP Wireless Mouse 220  Mouse         	id=9	[slave  pointer  (2)]
⎜   ↳ Hanvon Ugee Technology Co.,Ltd Deco L Pen (0)	id=12	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ José Expósito’s Keyboard            	id=10	[slave  keyboard (3)]
    ↳ Hanvon Ugee Technology Co.,Ltd Deco L   	id=11	[slave  keyboard (3)]
